url,label
https://www.example.org/about,0
https://www.example.org/contact,0
https://www.python.org/downloads/,0
https://www.python.org/doc/,0
https://www.wikipedia.org/wiki/Science,0
https://www.wikipedia.org/wiki/History,0
https://www.mozilla.org/en-US/firefox/,0
https://www.mozilla.org/privacy/,0
https://www.github.com/features,0
https://www.github.com/pricing,0
https://www.nasa.gov/missions/,0
https://www.nasa.gov/news/,0
https://www.un.org/en/about-us,0
https://www.un.org/en/climatechange,0
https://www.bbc.co.uk/news,0
https://www.bbc.co.uk/weather,0
https://www.nytimes.com/section/technology,0
https://www.nytimes.com/section/science,0
https://www.stackoverflow.com/questions,0
https://www.stackoverflow.com/tags,0
https://www.khanacademy.org/math,0
https://www.khanacademy.org/science,0
https://www.nationalgeographic.com/environment,0
https://www.nationalgeographic.com/travel,0
http://198.51.100.25/account/verify?session=9812,1
http://198.51.100.25/security/login?token=abc,1
http://203.0.113.81/paypal-login/verify-account,1
http://203.0.113.81/secure/update?ref=mail,1
http://login-secure-account.example/verify,1
http://login-secure-account.example/password/reset,1
http://microsoft-support-alert.example/signin,1
http://microsoft-support-alert.example/verify?id=882,1
http://banking-confirmation-center.example/login,1
http://banking-confirmation-center.example/account/update,1
http://xn--secure-login-7za.example/verify,1
http://xn--secure-login-7za.example/confirm,1
http://account-security-check.example/urgent/login,1
http://account-security-check.example/password/confirm,1
http://wallet-bonus-gift.example/claim,1
http://wallet-bonus-gift.example/payment/verify,1
http://verify-user-identity.example/signin,1
http://verify-user-identity.example/secure/account,1
http://mail-security-notice.example/login?source=email,1
http://mail-security-notice.example/update/credentials,1
http://cloud-storage-alert.example/verify,1
http://cloud-storage-alert.example/login/continue,1
